fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-6.09,-76.9,11,4.4,II-III Moyobamba,10 Km al SE de Moyobamba,
,,-7.51,-79.45,64,3.9,II San Pedro de Lloc,11 Km al SE de San Pedro de Lloc,
,,-9.52,-77.06,11,3.9,II Huari,23 Km al Sur SE de Huari,
,,-8.22,-74.37,191,5.4,"IV Pucallpa; III Tingo Maria, Puerto Inca, Contamana, Aguaytia, II-III Tocache; II Huanuco, Atalaya",24 Km al NE de Pucallpa,
,,-12.22,-77.69,32,4,II Lima,63 Km al Oeste SO del Callao,
,,-3.91,-81.28,33,4.4,II Mancora,34 Km al NO de Mancora,
,,-7.6,-74.8,151,4.7,II Contamana,36 Km al SE de Contamana,
,,-15.73,-71.82,13,4.1,II Madrigal,11 Km al SO de Maca,
,,-15.74,-71.81,0,3.9,"II Madrigal, Maca",12 Km al Sur de Maca,
,,-6.11,-76.85,31,4.1,II Moyobamba,17 Km al Este-SE de Moyobamba,
,,-9.76,-78.74,39,4.1,II-III Casma,58 Km al Oeste-SO de Casma,
,,-15.62,-73.45,101,5,III-IV Caravelí,20 Km al NO de Caravelí,
,,-16.54,-72.42,88,4.7,"III-IV Quilca, Camaná; II-III Arequipa",18 Km al N de Quilca,
,,-15.71,-71.81,13,3.8,"II Pinchollo, Maca",08 Km al SE de Pinchollo,
,,-17.11,-71.02,121,5.3,"III Moquegua, Omate; II Ilo, Arequipa, Mollendo, Tacna, Carumas",13 Km al NO de Moquegua,
,,-16.74,-70.57,16,3.8,II Carumas,15 Km al NE de Carumas,
,,-11.67,-77.84,46,4,II Lima,88 Km al Oeste del Callao,
,,-16.68,-73.88,30,5.7,"IV Atico, Ocoña, Chala; III Camaná, Caravelí, Acarí; II-III Aplao, Palpa; II Arequipa, Vitor, Nazca, Sara Sara, Puquio, Mollendo, Ica",74 Km al Sur-SO de Atico,
,,-16.39,-73.38,20,4.2,"II Ocoña, Atico",32 Km al Oeste de Ocoña,
,,-15.74,-73.13,104,4.6,II Caravelí,25 km al Este de Caravelí,
,,-12.8,-77.2,52,4,II Lima,59 Km al Oeste SO de Chilca,
,,-13.77,-76.36,55,3.9,II Pisco,19 Km al Oeste SO de Pisco,
,,-9.71,-75.86,26,4.2,II Panao,23 Km NE de Panao-Huanuco,
,,-15.73,-71.78,7,4.2,"III Maca, Pinchollo; II Huambo, Madrigal",10 Km al Sur de Maca,
,,-15.72,-71.76,7,3.9,II Maca,9 Km al Sur de Maca,
,,-9.9,-78.84,33,4.5,"II-III Casma, Huarmey; II Chimbote",77 Km al SO de Casma,
,,-9.75,-78.71,47,4.4,II-III Casma; Huarmey; II Chimbote,56 Km al SO de Casma,
,,-15.71,-71.8,6,4.4,"III Pinchollo, Maca; II Madrigal, Cabanaconde, Chivay",8 km al Sur-SE de Pinchollo,
,,-12.76,-76.91,55,4,II Mala,32 Km al Oeste SO de Mala,
,,-15.71,-71.75,11,4.1,II Maca,8 Km al Sur de Maca,
,,-15.71,-71.7,10,3.6,II Madrigal,11 Km Sur Este de Maca,
,,-15.66,-71.84,8,3.5,"II Magrigal, Pinchollo",8 Km S-SO de Madrigal,
,,-4.92,-80.98,47,4.3,"II-III Paita; II Sullana, Talara",24 al Nor-Este de Paita,
,,-13.51,-76.64,18,4.1,II Tambo de Mora,51 km Oeste de Tambo de Mora,
,,-15.74,-71.75,11,4.3,"III Maca, Pinchollo; II Madrigal",12 Km al Sur de Maca ,
,,-13.87,-69.44,64,4.9,"III-IV Sandia; II-III Macusani; II Puerto Maldonado, San Gabán",42 Km al Norte de Sandia,
,,-9.79,-78.71,42,3.8,II Casma,58 Km al Sur Oeste de Casma,
,,-15.73,-71.76,6,3.8,"II-III Maca, Pinchollo",10 Km al Sur de Maca,
,,-7.76,-74.56,170,5.1,II Pucallpa,67 Km al N de Pucallpa,
,,-10.49,-78.88,22,4.5,II Huarmey,94 Km al Oeste-SO de Huarmey,
,,-15.15,-76.33,20,4.7,"III Ica, San Juan de Marcona; II Nazca, Palpa",138 Km al Sur-SO de Ica,
,,-15.71,-71.75,6,5,"IV Maca, Pinchollo; III Chivay, Madrigal; II Huambo, Chachas, Arequipa
",9 Km al Sur de Maca,
,,-16.63,-71.75,22,3.8,"II Vítor, Arequipa",27 Km al Sur-Este de Vítor,
,,-18.64,-70.77,39,4.9,II-III Tacna,89 Km al Sur-Oeste de Tacna,
,,-11.2,-75.9,10,4.1,III Junin,11 Km al Este-SE de Junin,
,,-11.93,-77.78,46,4,"II-III Ancón, Lima",70 Km al Oeste-SO de Ancón,
,,-16.12,-73.98,47,4.8,"III Chala, Atico",41 Km al Sur-Este de Chala,
,,-12.14,-77.28,49,3.7,II Callao,18 Km al Oeste-SO de Callao,
,,-14.95,-76.23,11,4.5,"II-III Ica, san Juan de Marcona",113 Km al Sur-SO de Ica,
,,-18.08,-70.38,99,4.3,II Tacna,16 Km al Oeste  SO de Tacna,
,,-12.24,-77.15,51,3.6,"II Callao, Lima",20 Km al Sur de Callao,
,,-15.81,-71.67,9,3.7,II-III Maca,22 Km al Sur-SE de Maca,
,,-15.78,-71.75,8,3.6,II-III Maca,16 Km al Sur de Maca,
,,-16.8,-70.55,14,4,II Calacoa,15 Km al Este - SE de Calacoa,
,,-15.72,-71.73,9,3.6,II-III Maca,10 Km al Sur-SE de Maca,
,,-15.68,-71.77,8,3.2,II Maca,5 km al Sur de Maca,
,,-18.99,-69.86,113,5,II-III Tacna,116 Km Sur-SE de Tacna-Tacna,
,,-17.54,-71.4,13,4,II Ilo,13 Km al Norte-NO de Ilo,
,,-9.41,-79.07,39,4.3,II Chimbote,65 al Sur-Oeste de Chimbote,
,,-16.45,-73.43,32,4.2,II Atico,34 km al Sur-Este de Atico,
,,-15.72,-71.74,7,3.5,II Maca,9 Km al Sur SE de Maca,
,,-15.75,-71.71,8,3.7,II Maca,14 Km al Sur-SE de Maca,
,,-15.71,-71.88,13,3.9,II Pinchollo,10 Km al Sur-Oeste de Pinchollo,
,,-5.66,-78.84,20,4.5,"III Jaen, II Bagua, San Ignacio",6 Km al NO de Jaen,
,,-15.7,-72.17,11,3.6,II-III Huambo,7 Km al Oeste NO de Huambo,
,,-15.72,-71.75,6,3.9,II Maca,9 Km al Sur SE de Maca,
,,-3.56,-80.16,60,4.6,II-III Zarumilla,14 km al Este-SE de Zarumilla,
,,-15.72,-71.72,11,3.5,II Maca,11 Km al Sur-SE de Maca,
,,-15.71,-71.75,12,3.6,II Maca,9 Km al Sur-SE de Maca,
,,-9.99,-78.79,20,4.2,II Huarmey,71 Km al Oeste de Huarmey,
,,-15.75,-71.76,9,3.4,II Maca,13 Km al Sur de Maca,
,,-15.74,-71.77,8,3.5,II Pinchollo,13 Km al Sur-SE de Pinchollo,
,,-13.07,-75.09,91,4.4,II Castrovirreyna,25 Km al Norte-NE de Castrovirreyna,
,,-14.84,-75.4,28,4.1,"III Palpa, II Nazca",42 km al Sur-Oeste de Palp,
,,-11.79,-77.58,52,4.1,"II Ancón, Lima",45 km al Oeste de Ancón,
,,-3.67,-80.82,19,4.3,"III Zorritos, Tumbes; II Máncora",18 km al Oeste de Zorritos,
,,-14.42,-75.78,51,4.5,"II-III Ica, Palpa; II Pisco",39 km al Sur d Ica,
,,-15.77,-71.76,7,3.5,II Maca,15 Km al Sur de Maca,
,,-12.09,-77.32,56,4.1,"III Callao, Lima; II Ancon",20 Km al Oeste del Callao,
,,-10.39,-78.59,24,4.3,II Huarmey,50 Km al SO de Huarmey,
,,-16.77,-70.61,8,3.8,"II Calacoa, Carumas",8 Km al Este-SE de Calacoa,
,,-16.78,-70.59,10,3.9,"II Calacoa, Carumas",11 Km al Este-SE de Calacoa,
,,-16.76,-70.58,15,4.1,"III Calacoa, Carumas",10 Km al Este-SE de Calacoa,
,,-16.42,-72.14,40,4.4,II -III Vitor,24 Km al Oeste de Vitor - Arequipa,
,,-17.01,-69.59,195,5.1,"II-III Capaso, Conduriri",24 Km al NE de Capaso,
,,-15.73,-71.75,13,4,"II-III Maca, II Madrigal",11 km al Sur- SE de Maca Arequipa,
,,-11.88,-77.48,59,3.8,II Ancón,37 km al Oeste SO de Ancón,
,,-4.2,-78.38,19,4.9,II-III Santa Maria de Nieva,71 Km al Nor-Oeste de Sta. Maria de Nieva,
,,-5.23,-80.09,57,4.3,II Chulucanas,18 Km al Sur SE de Chulucanas,
,,-15.5,-73.93,99,4.2,II Chala,50 Km al Norte - Este de Chala,
,,-12.61,-77.01,49,3.8,"II Chilca, Lima",31 Km al Oeste-SO de Chilca,
,,-12.49,-76.54,99,4.2,"II-III Calango, Mala; II Chilca",3 Km al Norte de Calango,
,,-11.74,-77.03,98,4.2,"II-III Ancón, Lima",15 Km al Este de Ancón,
,,-10.55,-75.47,9,4,II Oxapampa,9 Km al Oeste NO de Oxapampa,
,,-16.54,-73.08,39,3.9,II Ocoña,13 Km al Sur de Ocoña,
,,-15.71,-71.72,7,3.4,II Maca,10 Km al Sur-SE de Maca,
,,-4.51,-77.93,48,4.5,II-III Santa Maria Nieva,10 Km al NO de Santa Maria Nieva,
,,-15.74,-71.73,8,3.4,II Maca,12 Km al Sur-SE de Maca,
,,-10.06,-78.85,44,4.6,"III Huarmey; II Chimbote, Huaraz, Yungay",77 Km al Oeste de Huarmey,
,,-17.07,-72.89,34,4.1,II Camaná,53 Km al Sur-SO de Camaná,
,,-8.55,-79.58,43,4.3,II Trujillo,78 km al Sur-Oeste de Trujillo,
,,-13.26,-76.78,64,4.2,III San Vicente de Cañete; II Lima,48 km al Oeste -SO de San Vicente de Cañete,
,,-16.79,-70.63,5,3.8,II Carumas,7 km al Sur-Este de Carumas,
,,-15.49,-73.2,127,4.7,"III Caravelí; II-III Cotahuasi, Pausa; II Pampacolca, Viraco",36 km al Norte-NE de Caravelí,
,,-18.02,-70.52,42,4.2,II-III Tacna; II Moquegua,28 km al Oeste de Tacna,
,,-9.41,-77.64,15,3.7,II Carhuaz,14 Km al Sur de Carhuaz,
,,-17.42,-69.91,12,4.3,II-III en Tarata,13 Km al Este NE de Tarata,
,,-15.73,-71.72,7,3.4,II Maca,11 al Sur SE de Maca,
,,-11.8,-77.76,46,4.2,II Ancón,65 Km al Oeste de Ancón,
,,-8.8,-74.59,163,5.3,II-III Pucallpa,48 Km al Sur de Pucallpa,
,,-14.43,-76.29,18,4.2,II Ica,74 Km al Oeste SO de Ica,
,,-7.22,-75.06,167,4.7,II-III Contamana,16 km al Norte-NO de Contamana,
,,-11.7,-76.34,119,4.1,"II Canta, Lima",39 Km al SE de Canta,
,,-16.61,-72.54,74,4.3,II Camaná,17 Km al Nor-Oeste de Quilca,
,,-8,-74.69,170,5.1,II Pucallpa,45 Km al Norte NO de Pucallpa,
,,-15.87,-75.03,20,5.1,"III Lomas, San Juan de Marcona, Yauca, Acari; II Chala, Atico, Nazca, Ica",39 Km al Sur SO de Lomas,
,,-15.75,-71.72,10,3.5,II Maca,14 Km al Sur SE de Maca,
,,-9.32,-79.1,49,4.2,II-III Chimbote,62 Km añ Oeste - SO de Chimbote,
,,-13.71,-73.1,16,4.3,II-III Abancay,25 Km al Oeste-SO de Abancay,
,,-13.61,-76.28,40,4.1,II Pisco,14 Km al Nor-Oeste de Pisco,
,,-13.54,-76.02,61,4.3,II Chincha Alta,18 Km al SE de Chincha Alta,
,,-8.5,-74.57,122,4.6,II Pucallpa,16 Km al Sur-SO de Pucallpa,
,,-4.31,-76.92,132,4.9,II-III Sta. María de Nieva,109 Km al Este-NE de Sta. María de Nieva,
,,-12.04,-76.64,96,4,II Chosica,14 Km al Sur-SE de Chosica,
,,-16.79,-70.56,13,4.1,"II-III Carumas, Calacoa; II Moquegua, Toquepala",13 Km al Oeste-SE de Calacoa,
,,-16.81,-70.55,13,3.9,"II-III Carumas, Calacoa; II Moquegua",14 Km al Este de Carumas,
,,-16.81,-70.56,10,3.8,"II-III Carumas, Calacoa; II Moquegua, Toquepala",13 Km al Este de Carumas,
,,-16.82,-70.55,7,3.8,"II-III Carumas, Calacoa; II Moquegua, Toquepala",15 Km al Este de Carumas,
,,-16.83,-70.58,11,3.9,"II-III Carumas, Calacoa; II Moquegua, Toquepala",12 Km al Este de Carumas,
,,-16.8,-70.54,14,3.5,II Carumas,15 Km al Este de Carumas,
,,-11,-74.08,144,4.7,II Satipo,37 Km al NE de San Martín de Pangoa,
,,-16.03,-74.21,24,4.9,"III-IV Chala; III Atico, Yauca, II Ocoña, Caravelí, Camaná, Palpa, Nazca",21 Km al Sur de Chala,
,,-8.16,-79.85,34,4,II San Pedro de LLoc,91 Km al Sur-SO de San Pedro de LLoc,
,,-16.83,-70.49,13,3.8,II Carumas,21 Km al Este de Carumas,
,,-5.74,-78.76,16,3.8,II Jaen,7 Km al SE de Jaen,
,,-9.91,-74.87,18,4,II Puerto Bermudez,43 Km al Norte-NE de Puerto Bermudez,
,,-16.82,-70.58,10,3.7,II Carumas,11 Km al Este de Carumas,
,,-16.83,-70.6,10,4.1,"II Carumas, Calacoa",10 Km al Este-SE de Carumas,
,,-16.81,-70.58,10,3.7,II Carumas,12 Km al Este de Carumas,
,,-16.84,-70.54,13,4,"II-III Carumas, Calacoa; II Matalaque, Omate, Moquegua, Toquepala, Candarave",16 Km al SE de Calacoa,
,,-16.84,-70.55,14,3.7,II Carumas,14 Km al Este-SE de Carumas,
,,-16.82,-70.54,9,3.4,II Carumas,16 Km al Este de Carumas,
,,-15.29,-74.42,98,4.1,II Acarí,25 Km al Este-NE de Acarí,
,,-16.82,-70.5,6,3.9,II Carumas,20 Km al Este de Carumas,
,,-16.8,-70.62,16,4.6,"IV Carumas, Calacoa; III Omate, Moquegua, Locumba",7 Km al Este de Carumas,
,,-13.61,-75.28,71,5.3,"IV Huaytará; III-IV Huancano, Tibillo; III Castrovirreyna; II-III La Tinguiña, Palpa; II Ica, Nazca, Huancavelica, Chincha Alta, Lircay",8 Km al Este-SE de huaytará,
,,-9.35,-79.16,57,3.9,II Chimbote,70 Km al Oeste-SO de Chimbote,
,,-16.18,-73.01,29,4.2,"II-III Ocoña; II Majes, Aplao",28 Km al Norte-NE de Ocoña,
,,-16.79,-70.64,13,3.9,"II-III Calacoa, Carumas",7 Km al SO de Calacoa,
,,-5.24,-81.12,34,4,II Sechura,47 Km al NO de Sechura,
,,-8.44,-75.13,156,5.1,"II-III Curimaná, II Pucallpa",3 km al Este-SE de Curimaná,
,,-8.32,-79.33,57,3.9,II Trujillo,41 Km al SO de Trujillo,
,,-15.16,-72.37,124,4.4,II Andagua,36 Km al Norte de Andagua,
,,-16.81,-70.63,14,3.8,II Carumas,7 Km al Este de Carumas,
,,-6.05,-80.13,56,4.2,II Olmos,28 km al Oeste-SO de Olmos,
,,-16.8,-70.62,13,3.8,II Calacoa,9 Km al SE de Calacoa,
,,-8.52,-76.2,11,4,II Tocache,52 km al Sur-Este de Tocache,
,,-10.36,-74.78,19,4.3,II Puerto Bermudez,22 Km al Este-SE de Puerto Bermudez,
,,-7.26,-79.76,45,4.6,"II-III San Pedro de Lloc, Chepén",34 km al Oeste-NO de San Pedro de Lloc,
,,-8.56,-74.22,195,4.7,II Pucallpa,40 Km al Este SE de Pucallpa,
,,-15.67,-70.47,238,4.6,II Lampa,36 Km al Sur-SO de Lampa,
,,-15.74,-71.71,9,3.6,II Maca,13 Km al Sur-SE de Maca,
,,-15.73,-71.71,7,3.4,II Maca,12 km al Sur-SE de Maca,
,,-14.75,-70.8,209,4.4,II Espinar,65 Km al este de Espinar,
,,-12.7,-76.92,23,4,II Chilca,30 Km al SO de Chilca,
,,-15.72,-71.75,8,3.7,II Maca,9 Km al Sur-SE de Maca,
,,-15.11,-75.11,48,4.3,II San Juan de Marcona,28 Km al Norte-NE de San Juan de Marcona,
,,-15.81,-71.58,162,4.2,II Chivay,20 Km al Sur de Chivay,
,,-13.1,-73.23,11,4.1,"II Anco, Quillabamba",52 Km al Este de Anco,
,,-17.54,-71.41,40,4.4,"II-III Ilo; II Mollendo, Arequipa, Tacna, Toquepala",13 Km al Nor-Oeste de Ilo,
,,-11.65,-77.87,71,4,II Huacho,66 Km al Sur-SO de Huacho,
,,-16.11,-71.99,14,3.9,II Vitor,37 Km al Oeste-NO de Yura,
,,-16.82,-70.55,15,3.8,"II Carumas, Calacoa",16 Km al E de Carumas,
,,-10.63,-78.11,66,4.3,II Barranca,40 Km al Oeste-NO de Barranca,
,,-12.73,-77.04,59,4.1,II-III Chilca,41 km al Sur-Oeste de Chilca,
,,-16.81,-70.57,12,3.6,II Carumas,8 Km al Sur-SE de Volcan Ticcsani,
,,-4.93,-81.02,44,4.7,"III-IV Paita, Sullana; II-III Talara, Piura, Sechura; II Máncora, Chulucanas",20 Km al Norte-NE de Paita,
,,-11.34,-76.81,119,4,II Canta,26 Km al Oeste-NO de Canta,
,,-15.74,-71.7,9,3.4,II Maca,13 Km al Sur-SE de Maca,
,,-16.69,-72.23,83,4,II Quilca,20 km al Este de Quilca,
,,-16.47,-72.38,86,4.5,"III Quilca; II Camaná, II Arequipa",27 Km al Norte de Quilca,
,,-16.44,-71.85,23,3.8,II Vítor,7 Km al Este-NE de Vítor,
,,-10.01,-74.94,20,4.4,II-III Puerto Bermudez,31 km al Norte de Puerto Bermudez,
,,-15.94,-74.66,52,4.2,II Yauca,35 km al Sur-SO de Yauca,
,,-3.32,-79.97,82,4.3,"II Zarumilla, Tumbes",38 Km al Este-NE de Zarumilla,
,,-10.77,-76.35,128,4.6,"II-III Cerro de Pasco, Lima",14 Km al Sur-Oeste de Cerro de Pasco,
,,-16.67,-70.59,17,3.7,II Carumas,13 Km al Este - SE de Carumas,
,,-16.88,-70.59,15,3.7,II Carumas,13 Km al SE de Carumas,
,,-16.8,-70.56,11,3.6,II Carumas,14 km E de carumas,
,,-7.99,-74.59,166,4.9,II Pucallpa,42 km al Norte de Pucallpa,
,,-6.25,-76.13,50,4.4,"II Yurimaguas, Pampa Hermoza",40 Km al Sur de Yurimaguas,
,,-15.64,-71.94,16,3.8,II Cabanaconde,5 Km al SE de Cabanaconde,
,,-12.51,-76.92,53,3.9,II Chilca,20 Km al Oeste de Chilca,
,,-11.35,-78.17,59,5.4,"IV Huacho; III-IV Barranca, Huaral; III Huarmey, Ancón, Matucana, Chosica, Lima; II Chimbote, Casma, Chilca, Mala",68 Km al Oeste-SO de Huacho,
,,-12.11,-77.42,44,4,"II Callao, Lima",31 Km al Oeste del Callao,
,,-8.45,-78.92,98,4.9,II-III Salaverry; II Chimbote,27 km al S de Salaverry,
,,-12.22,-77.41,47,3.8,"II Callao, Lima",34 Km al Oeste-SO de Callao,
,,-7.22,-76.31,54,4.5,II-III Picota,39 Km SE de Picota-San Martin,
,,-13.17,-77.1,31,4.3,"II Mala, San Vicente de Cañete",77 Km al Sur-Oeste de Mala,
,,-16.8,-70.67,11,3.8,"II-III Carumas, Calacoa",3 Km al Este-NE de Carumas,
,,-14.27,-76.04,76,4.2,II Ica,42 Km al Oeste-SO de Ica,
,,-15.74,-71.74,11,3.6,II Maca,11 km al Sur-SE de Maca,
,,-13.58,-76.31,51,4.2,II Tambo de Mora,20 Km al SO de Tambo de Mora,
,,-16.41,-71.57,118,4.4,"II Arequipa, Yura",5 Km al SO de Arequipa,
,,-16.7,-72.39,78,4.2,II Quilca,3 Km al Este-NE de Quilca,
,,-16.31,-72.62,109,4.5,"II Aplao, Camaná",30 Km al sur-SO de Aplao,
,,-8.98,-76.49,137,4.6,II Aucayacu,43 Km al Oeste de Aucayacu,
,,-12.68,-76.77,49,4,"II-III Mala, Chilca; II Lima, Callao",16 Km al Oeste de Mala,
,,-9.49,-78.87,45,4.4,II-III Casma,83 Km al SO de Casma,
,,-15.68,-71.76,12,3.4,"II Cabanaconde, Maca, Pinchollo, Madrigal",25 Km al Este-SE de Cabanaconde,
,,-12.43,-77.08,51,3.9,II Chilca,37 Km al Oeste-NO de Chilca,
,,-13.32,-74.83,112,4.8,II Castrovirreyna,37 Km al Este de Castrovirreyna,
,,-18.08,-70.42,30,4,II Tacna,20 Km al Oeste de Tacna,
,,-15.74,-71.71,7,3.4,II Maca,13 Km al Sur-SE de Maca,
,,-14.7,-76.72,6,5.2,"III-IV Paracas, Pisco,Ica; III Chincha; II-III Palpa, Nazca; II Cañete, Mala, Chilca",124 Km al Sur-SO de Pisco,
,,-14.53,-76.34,11,4.3,"II Pisco, Ica",84 Km al Sur-Oeste de Ica,
,,-14.52,-76.27,16,4.7,"III Pisco, Ica; II Chincha, Cañete, Palpa, Nazca",78 Km al Sur-Oeste de Ica,
,,-15.73,-71.72,13,3.9,II Maca,11 km al Sur-SE de Maca,
,,-5.89,-78.88,14,4.4,"III Jaen, Bagua; II Cutervo, San Ignacio",23 km al Sur-SO de Jaen,
,,-13.23,-76.71,43,4.3,"II-III San Vicente de Cañete; II Pisco, Mala, Lima, Callao",40 Km al Oeste-SO de San Vicente de Cañete,
,,-14.17,-75.81,68,4.6,"III Pisco, Ica; II Chincha, Palpa",15 Km al Sur-Oeste de Ica,
,,-14.56,-76.3,10,4.4,"II-III Ica, Pisco",83 Km al SO de Ica,
,,-15.67,-71.65,3,3.8,III Chivay; II Maca,7 Km al Sur-Oeste de Chivay,
,,-12.59,-76.78,52,3.7,II Chilca,10 Km al Sur-SO de Chilca,
,,-7.13,-80.53,35,4.5,"II-III Pimentel; II Lambayeque, Chiclayo, ",107 km al Oeste-SO de Pimentel,
,,-15.64,-71.68,8,5.3,"VI Maca, Yanque, Achoma, Ichupampa; V-VI Coporaque, Chivay, Madrigal, Pinchollo, Cabanaconde; IV-V  Yuta; IV Huambo; III_IV Chachas, III Yura ",9 Km al Este Maca,
,,-7.04,-80.97,36,4.4,II Pimentel,118 al Oeste-SO de Pimentel,
,,-15.63,-71.68,6,3.7,"II Maca, Yanque, Achoma, Ichupampa",9 km al Este de Maca,
,,-15.64,-71.7,6,3.6,"II Maca, Yanque",7 Km al Este de Maca,
,,-15.68,-71.67,7,3.4,II Chivay,9 Km al Sur-Oeste de Chivay,
,,-15.65,-71.67,8,3.6,II Chivay,8 Km al Oeste-SO de Chivay,
,,-15.65,-71.69,8,3.6,"II Chivay, Maca",8 Km al Este de Maca,
,,-15.73,-71.74,7,3.7,II Maca,11 km al Sur_SE de Maca,
,,-15.65,-71.71,4,3.8,II Maca,6 km al Este-SE de Maca,
,,-15.63,-71.7,11,3.8,II Maca,7 km al Este de Maca,
,,-15.64,-71.71,9,3.6,II Maca,7 Km al Este de Maca,
,,-15.66,-71.68,11,3.6,II Maca,10 Km al Este-SE de Maca,
,,-16.52,-71.74,20,4.3,"III Vítor, II Arequipa, Quilca, Mollendo",21 Km al Este-SE de Vítor,
,,-11.61,-76.95,113,4.6,"III Yangas, II Huaral, Ancón, Lima, Canta",14 Km al Nor-Oeste de Yangas,
,,-12.83,-77.01,48,4.2,"III Chilca, Mala; II Lima, Callao",46 km al Sur-Oeste de Chilca,
,,-15.68,-71.66,5,3.9,"II Chivay, Maca",09 km al Sur-Oeste de Chivay,
,,-15.65,-71.68,9,3.9,"II Maca, Chivay",9 km al Este de Maca,
,,-17.08,-72.37,54,5.2,"IV Mollendo Quilca, Camaná, Cocachacra, Mejía, Punta de Bombón; III-IV Ocoña, Vitor, Aplao; III Ilo, Arequipa, Yura; II Chuquibamba, Atico, Moquegua",39 Km al Oeste de Mollendo,
,,-15.67,-71.69,7,3.7,"II Maca, Chivay, Ichupampa , Madrigal, Pinchollo",09 km al Este-SE de Maca,
,,-15.7,-71.88,7,3.7,"II Maca, Pinchollo, Madrigal",9 Km al Sur-Oeste de Pinchollo,
,,-16.2,-73.86,36,4.8,"III Atíco, Chala; II Caravelí, Ocoña, Yauca",26 Km al Oeste de Atico,
,,-13.27,-76.17,96,4.3,"II-III Chincha Alta, San Vicente de Cañete, Lunahuaná; II Pisco, Mala, Lima",18 km al Norte- NO de Chincha Alta,
,,-12.55,-77.1,37,3.7,II Chilca,39 Km al Oeste de Chilca,
,,-15.68,-71.67,8,3.7,II Chivay,9 Km al Oeste-SO de Chivay,
,,-15.72,-72.04,7,3.9,"II Huambo, Cabanaconde",8 km al Este de Huambo,
,,-10.78,-73.7,138,5.2,III-IV Atalaya; II Satipo,9 Km al SE de Atalaya,
,,-15.66,-71.71,8,3.9,"II Maca, Chivay",7 Km al Este-SE de Maca,
,,-14.52,-76.34,15,4.3,II Ica,84 km al SO de Ica,
,,-8.22,-76.27,160,4.8,"II-III Tocache Nuevo; II Uchiza, Tingo Maria",27 km al este de Tocache Nuevo,
,,-16.48,-72.55,92,4.7,"III Camana, Quilca; II Mollendo, Ocoña, Aplao, Vitor, Arequipa",23 Km al Nor-Este de Camaná,
,,-5.14,-80.56,72,4.2,II Piura,10 Km al Nor-Este de Piura,
