fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-10.33,-74.64,52,4.4,II Puerto Bermudez,36 Km al Este de Puerto bermudez,
,,-10.24,-75.33,55,4.5,II Pozuzo,26 Km al Este-SE de Pozuzo,
,,-14.06,-74.56,95,4.8,II Chuschi,59 Km al Sur-SO de Chuschi,
,,-12.28,-77.45,29,4,II Callao,42 km al SO del Callao,
,,-15.68,-71.79,16,3.7,II Maca Pinchollo,5 Km al Sur-SO de Maca,
,,-14.41,-76.78,14,4.4,II Pisco,101 Km al SO de Pisco,
,,-14.24,-76.53,35,4.3,II Pisco,69 Km al SO de Pisco,
,,-14.22,-76.11,22,4.2,II Ica,46 Km al Oeste-SO de Ica,
,,-15.77,-71.8,15,3.9,II Maca Pinchollo,15 Km al Sur-SO de Maca,
,,-13.46,-72.21,13,3.8,II Anta,7 Km al Oeste-NO de Anta,
,,-16.05,-74.9,39,4.2,   II Lomas,54 Km al S de Lomas,
,,-12.86,-74.01,90,4.3,II Huanta,26 Km al Este-NE de Huanta,
,,-15.65,-71.84,12,3.8,II Maca,8 Km al Oeste-SO de Maca,
,,-9.22,-79.34,22,5,II-III Chimbote II Trujillo,85 Km al O de Chimbote,
,,-16.39,-71.83,22,3.8,II Yura,23 Km SO de Yura-Arequipa,
,,-16.55,-71.57,24,3.8,II Arequipa,18 Norte de Arequipa,
,,-12.16,-77.39,48,3.8,II Callao-Lima,30 Km al O del Callao,
,,-16.11,-74.12,45,4.2,II Chala,32 Km Se de Chala-Arequipa,
,,-16.77,-72.58,48,3.8,II Quilca,19 Km O de Quilca-Arequipa,
,,-15.66,-72.01,12,3.9,II Cabanaconde,6 Km al SO de Cabanaconde-Arequipa,
,,-16.43,-72.95,60,4.2,"II Ocoña,  Camaná  ",16 Km al E de Ocoña,
,,-15.7,-71.99,12,4.5,"III Cabanaconde,  Huambo;   II Pinchollo,  Madrigal  ",9 Km al S de Cabanaconde,
,,-15.68,-71.8,14,3.7,II Maca,6 Km al SO de Maca,
,,-15.69,-72,14,4,II Cabanaconde,9 Km al Sur-SO de Cabanaconde,
,,-17.24,-71.84,42,4.8,III IV Punta de Bombon  Mollendo  III Quilca  II Arequipa,10 Km al SO de Punta de Bombón,
,,-15.68,-71.83,14,3.8,"II Pinchollo, Maca",5 Km al Sur-So de Pinchollo,
,,-15.66,-72.01,8,3.9,II Cabanaconde,6 Km al Sur-SO de Cabanaconde,
,,-16.01,-73.78,42,4.3,II Atico,28 Km al NO de Atico,
,,-15.65,-71.83,12,3.8,II Pinchollo Maca,2 Km al SO de Pinchollo,
,,-15.64,-71.99,12,3.5,"II Cabanaconde, Pinchollo",3 Km al SO de Cabanaconde,
,,-13.45,-76.77,49,4.1,"II San Vicente de Cañete, Tambo de Mora",59 Km al SO de San Vicente de Cañete,
,,-15.65,-72,11,3.9,II Cabanaconde,4 km Sur-SO de Cabanaconde,
,,-15.65,-71.99,15,3.9,"II Pinchollo, Madrigal",4 Km al O de Pinchollo,
,,-12.88,-73.88,86,4.4,"II San Miguel, Anco",17 Km al NO de San Miguel,
,,-15.66,-72,10,3.8,II Cabanaconde,6 Km al Sur-SO de Cabanaconde,
,,-15.64,-71.83,13,3.9,II Pinchollo,1 km al Oeste de Pinchollo,
,,-15.67,-71.97,18,3.9,II Cabanaconde,6 km al Sur-Sureste de Cabanaconde,
,,-15.65,-71.99,15,3.9,"II Cabanaconde, Huambo",4 Km al Sur-So de Cabanaconde,
,,-15.63,-72.01,12,4.1,III Cabanaconde; II Huambo,4 Km al Oeste-SO de Cabanaconde,
,,-5,-81.15,24,4.2,II-III Paita,9 km al Norte-NO de Paita,
,,-12.86,-76.85,51,3.9,"II Lima, Mala",33 km al Sur-Oeste de Mala,
,,-12.51,-77.35,34,4.4,"II-III Callao, II Mala, Chilca, Ancón",55 km al Sur-SO de Callao,
,,-4.95,-78.52,40,4.6,II San Ignacio,56 km al Este-NE de San Ignacio,
,,-3.7,-80.64,28,4,II Zorritos,3 km al Sur-Este de Zorritos,
,,-5.04,-81.26,25,4.2,II Paita,16 km al Oeste de Paita,
,,-15.68,-72.01,11,3.9,II Cabanaconde,8 km al Sur-SO de Cabanaconde,
,,-15.64,-71.84,8,3.9,"II Pinchollo, Maca",3 km al Oeste-SO de Pinchollo,
,,-12.4,-74.59,8,3.8,II Campo Armiño,25 km al Este de Campo Armiño,
,,-8.54,-75.86,33,4.8,II Aucayacu,52 km al Norte de Aucayacu,
,,-16.82,-70.52,13,4,II Carumas,18 km al Este de Carumas,
,,-15.62,-71.98,10,3.4,"II Cabanaconde, Pinchollo",1 Km al Oeste-SO de Cabanaconde,
,,-15.68,-71.85,10,3.5,"II Pinchollo, Cabanaconde",6 Km al SO de Pinchollo,
,,-15.68,-71.76,6,3.5,II Maca,5 Km al Sur-SE de Maca,
,,-15.66,-71.82,8,3.4,"II Pinchollo, Maca",2 Km al Sur de Pinchollo,
,,-15.66,-71.79,6,3.2,"II Pinchollo, Maca",4 Km al SE de Pinchollo,
,,-15.67,-71.82,12,3.7,II Maca,6 km al Oeste-SO de Maca,
,,-15.64,-71.84,12,3.7,II Pinchollo,2 km al Oeste de Pinchollo,
,,-16.03,-74.27,43,4.2,II Chala,21 Km al Sur-SO de Chala,
,,-11.94,-76.77,93,4,"II Chosica, Lima",8 km al Oeste-SO de Chosica,
,,-18.46,-71.27,25,4.8,"II Moquegua, Tacna",92 Km al Sur de Ilo,
,,-15.62,-72.01,5,3.5,II Cabanaconde,4 Km al Oeste de Cabanaconde,
,,-16.76,-72.89,45,4.8,III-IV Camaná; III Ocoña; II Arequipa,26 Km al SO de Camaná,
,,-3.47,-80.86,36,5,"IV Zorritos; III Tumbes; II Zarumilla, Mancora",46 Km Oeste-NO de Tumbes,
,,-18.58,-71.33,25,4.6,II Ilo,105 Km al Sur de Ilo,
,,-15.63,-72.01,5,3.3,II Cabanaconde,4 Km al Oeste-SO de Cabanaconde,
,,-17.78,-71.61,28,4.3,II Ilo,33 Km al Oeste-SO de Ilo,
,,-4.27,-79.91,43,4.5,II Ayabaca,47 Km al NO de Ayabaca,
,,-18.76,-69.75,125,6.2,"V Tacna; IV-V Moquegua, Ilo; III-IV Arequipa",99 Km al Sur-SE de Tacna,
,,-9.39,-79.1,36,5,"III-IV Chimbote; III Casma; II Huarmey, Salaverry",67 Km al SO de Chimbote,
,,-9.99,-78.8,39,4.6,"III Huarmey, Chimbote; II Huacho",72 Km al Oeste de Huarmey,
,,-15.69,-72.14,11,3.5,II Huambo,5 Km al Nor-Oeste de Huambo,
,,-12.6,-76.82,53,3.9,II Lima  Chilca  ,13 Km al SO de Chilca,
,,-15.8,-74.24,52,4.3,II Chala,5 Km al Norte de Chala,
,,-10.77,-78.45,46,5.2,"IV Barranca; III-IV Huacho; III Chimbote, Casma; II-III Huaraz; II Huaral, Chilca",77 Km al Oeste de Barranca,
,,-15.66,-72,12,3.8,II Cabanaconde,4 km al Sur-SO de Cabanaconde,
,,-11.31,-76.96,114,4.2,"II-III Huaral; II Lima, Ancón",33 km al Nor-Este de Huaral,
,,-11.67,-78.05,39,4.6,"II Huacho, Huaral, Lima",70 km SO de Huacho,
,,-16.42,-73.32,36,4.3,"II-III Ocoña, Atico",25 Km al Oeste de Ocoña,
,,-15.96,-73.66,85,4.1,II Atico,28 Km al Norte de Atico,
,,-15.65,-71.84,8,3.6,"II Pinchollo, Maca",03 Km al SO de Pinchollo,
,,-15.69,-71.79,5,3,II Maca,06 km al SO de Maca,
,,-14.44,-73.17,7,3.9,II Chalhuanca,19 Km al SE de Chalhuanca,
,,-8.2,-80.03,21,5,"III Trujillo II-III Chiclayo, Lambayeque, Chocan II Casma",103 al SO de San Pedro de Lloc,
,,-14.67,-76.62,21,5.2,"III Ica, Pisco",118 km Sur-Oeste de Ica,
,,-16.75,-73.02,42,4,II Camana  ,36 Km al S de Ocoña,
,,-12.78,-76.88,49,3.8,II Lima,31 Km al SO de Mala,
,,-14.08,-76.22,49,4.1,"II Pisco, Chincha, Ica",41 Km al Sur de Pisco,
,,-8.45,-80.23,23,5.7,"III San Pedro de Llloc, Trujillo, Salaverry; 
II Chiclayo, Chimbote",138 Km alOeste-SO de Trujillo,
,,-16.27,-72.75,36,4.3,"II Aplao, Camana",36 Km al SO de Aplao,
,,-15.64,-71.8,10,3.9,"II III Pinchollo, Maca; II Cabanaconde",2 km al Este de Pinchollo; 3 km al Oeste de Maca,
,,-11.19,-74.64,13,4,III Satipo; II San Martín de Pangoa,7 Km al Norte de Satipo,
,,-12.94,-76.9,19,4,II Mala,44 Km al SO de Mala,
,,-12.58,-76.87,52,4.1,"III Chilca, II-III Lima, Mala; II Ancón, Chosica",20 km al Oeste-SO de Chilca,
,,-11.33,-76.91,90,4.1," III Canta, Huaral; II Lima",37 Km al NE de Huaral,
,,-11.3,-74.59,14,4.3,II Satipo,8 Km al SE Satipo,
,,-5.56,-79.59,110,4.3,II Huancabamba,39 km al Sur-SO de Huancabamba,
,,-14.38,-75.89,47,5.4,"IV Ica; III-IV La Tinguiña; III Palpa, Pisco, Nazca; II-III Tambo de Mora; II Chincha Alta, San Vicente de Cañete",40 Km al Sur-SO de Ica,
,,-15.78,-75.39,17,4.9,"III-IV San Juan de Marcona, II-III Nazca, II Yauca, Palpa, Ica",52 Km al Sur-SO de San Juan de Marcona,
,,-13.41,-74.94,92,4.6,"II-III Castrovirreyna, II Ica, Pisco",28 Km al Este-NE de Castrovirreyna,
,,-6.84,-80.49,34,4.3,"II Pimentel, Chiclayo",62 Km al Oeste de Pimentel,
,,-18.28,-71.21,32,4.6,II Tacna  ,72 Km al S de Ilo,
,,-9.7,-77.58,18,4,II Huaraz,20 Km al Sur-SO de Huaraz,
,,-16.15,-73.81,32,4.5,III Atico; II Chala,22 Km al O-NO de Atico,
,,-12.46,-77.68,15,4.7,III Callao; II Lima,74 Km al SO del Callao,
,,-13.19,-76.36,41,4.7,"III Cañete, II-III Chincha, II Pisco, Mala, Chilca  ",12 Km al S de San Vicente de Cañete,
,,-15.63,-71.84,10,3.7,"II-III Madrigal, Maca",6 Km al SO de Madrigal,
,,-15.71,-71.81,10,3,"II Maca, Pinchollo",8 Km al Sur de Pinchollo,
,,-13.14,-76.49,55,3.7,II San Vicente de Cañete,13 Al O de cañete,
,,-14.71,-75.37,42,4.4,II Palpa,29 Km al SO de Palpa,
,,-4.9,-80.97,31,3.9,"II Paita, Sullana","26 km al Nor-Este de Paita, 31 km al Oeste de Sullana",
,,-15.77,-73.86,72,4.6," II-III Chala, Caravelí ",43 Km al E de Chala,
,,-6.46,-77.65,25,4.2, II Chachapoyas,30 Km al SO de Mendoza,
,,-15.71,-71.84,13,3.4,"II-III Pinchollo, Maca",9 Km al Sur-SO de Pinchollo,
,,-66.55,-80.56,22,4.3,II Pimentel,73 Km al O-NO de Pimentel,
,,-15.93,-74.69,27,4.9,"IV Chala, Lomas, Yauca; II-III San Juan de Marcona, Atíco",43 Km a Sur-SE de Lomas,
,,-16.28,-74.52,23,5.8,"III-IV Chala, Lomas, Yauca; II-III Nazca, Ocoña; II Pisco, Ica, Camana, Arequipa, Lima",57 Km al Sur-SO de Chala,
,,-15.7,-71.85,8,3.5,"II Maca, Pinchollo",8 Km al Sur-SO de Pinchollo,
,,-16.48,-73.09,34,4.1,II Ocoña,6 Km al S de Ocoña,
,,-13.9,-71.75,9,4.7,"IV Urcos, Paruro; III Cuzco; II Sicuani",29 Km al Sur-SO de Urcos,
,,-7.17,-80.7,17,4.9,"III-IV Pimentel, Lambayeque; III Chiclayo; II Chepén",93 Km al Oeste-SO de Pimentel,
,,-16.28,-73.83,27,4.4,"III Atico; II Chala, Ocoña",24 Km al Oeste-SO de Atico,
,,-3.98,-80.88,34,4.5,II-III Máncora,23 Km al Nor-Este de Mancora,
,,-8.65,-78.85,64,4,II Chimbote,55 Km al NO de Chimbote,
,,-15,-76.51,18,5,II Ica,134 Km al SO de Ica,
,,-9.13,-79.27,46,4.2,II Chimbote,75 Km al Oeste de Chimbote,
,,-10.95,-78.33,28,4.3,"II Barranca, Huacho",66 Km al Oeste SO de Barranca,
,,-16.11,-73.41,70,4.5,II Caraveli,25 Km al Este NE de Atico,
,,-10.49,-75.53,20,4,II Huancabamba,11 Km al Sur de Huancabamba,
,,-9.19,-75.8,33,4.5,II Tingo Maria,24 Km al Este NE de Tingo Maria,
,,-9.11,-75.83,27,5.4,"III-IV Tingo Maria; III Aguaytia; II Huanuco, Pucallpa",27 Km NE de Tingo Maria,
,,-12.57,-76.95,47,4.3,II-III Chilca; II LIma,25 Km al Oeste-SO de Chilca,
,,-9.86,-75.77,129,4.7,"II Pozuzo, Huanuco",20 Km al este de Panao-Huanuco,
,,-71.81,-15.61,7,3.4,"II Pinchollo, Maca",2 Km al Norte de Pinchollo,
,,-15.6,-71.81,11,3.4,II Madrigal,1 Km al Sur SO de Madrigal,
,,-15.69,-71.8,11,3,II Pinchollo,9 Km al SO de Maca,
,,-15.68,-71.81,5,3.1,"II Maca, Pinchollo",5 Km al Sur de Pinchollo,
,,-15.65,-71.76,10,2.9,"II Maca, Pinchollo",2 Km al SE de Maca,
,,-15.65,-71.75,10,3.2,"II Maca, Pinchollo",2 Km al SE de Maca,
,,-16.86,-71.87,22,4,"II Mollendo, Arequipa",43 Km al Norte NE de Mollendo,
,,-15.63,-71.81,14,3.8,"II Maca, Pinchollo",02 Km al NE de Pinchollo,
,,-15.62,-71.81,11,3.8,"II Pinchollo, Madrigal",02 Km al Norte NE de Pinchollo,
,,-15.63,-71.81,5,3.8,"III Maca, Madrigal, Pinchollo",01 Km al NE de Pinchollo,
,,-15.15,-74.08,108,4.2,II Coracora,33 Km al Oeste SO de Coracora,
,,-8.37,-75.71,126,5,II Aguaytia,78 Km al Norte NO de Aguaytia,
,,-18.67,-70.98,35,4.1,II Locumba,II Locumba,
,,-8.59,-79.47,32,4.2,II-III Salaverry; II Trujillo,74 Km al SO de Salaverry,
,,-16.07,-74.31,22,4.4,II-III Chala; II Atico,25 Km al Sur SO de Chala,
,,-12.35,-75.1,6,4,V Ñahuimpuquio,04 Km Oeste SO Ñahuimpuquio (Huancavelica),
,,-9.81,-78.87,28,4.3,"II Casma, Chimbote",,
,,-15.72,-71.83,12,3.6,"II Maca, Pinchollo",09 Km al Sur de Pinchollo,
,,-80.85,-5.17,50,4.1,II Piura,24 Km al Oeste de Piura,
,,-15.71,-71.83,10,4.3,"III-IV Pinchollo, Maca; II-III Madrigal",08 al Sur de Pinchollo,
,,-15.83,-71.83,6,3.8,II Maca,22 Km al Sur SO de Maca,
,,-6.66,-81.34,24,5,II Sechura,136 Km al Sur SO de Sechura,
,,-11.47,-76.4,102,4.5,"II Canta, Lima",22 Km al Este de Canta,
,,-8.19,-76.34,25,4,II Tocache Nuevo,20 Km Este de Tocache (San Martin),
,,-12.53,-76.88,51,3.8,"II Chilca, Lima",16 Km al Oeste de Chilca,
,,-14.32,-74.93,56,4.4,II Palpa,35 Km al NE de Palpa,
,,-15.58,-71.81,7,3.5,"II Madrigal, Maca",2 Km al Norte de Madrigal,
,,-17.97,-70.65,15,4,II Tacna,42 Km Sur SE de Locumba,
,,-8.83,-78.93,48,4.1,II Chimbote,46 Km al NO de Chimbote,
,,-8.32,-79.66,30,4.1,II Salaverry,73 Km al Oeste SO de Trujillo,
,,-5.03,-81.28,20,3.9,II Paita,19 Km al O de Paita,
,,-18.07,-70.86,66,4.4,II Tacna,"53 Km al Sur-SO de Locumba, Tacna",
,,-8.93,-76.1,13,3.2,II Aucayacu,2 Km al Norte NO de Aucayacu,
,,-15.81,-71.82,10,4.9,"III-IV Pinchollo, Maca; II-III Madrigal, Cabanaconde",19 km de Pinchollo; 20 km de Maca,
,,-8.63,-79.02,70,4,"II Salaverry, Chimbote",47 Km al S de Salaverry,
,,-15.59,-71.82,10,4.1,"III Madrigal, II Maca",2 Km al NO de Madrigal,
,,-10.57,-75.56,20,4.3,II Oxapampa,18 Km al O de Oxapampa,
,,-12.35,-76.28,88,5.1,"III-IV Calango, III Yauyos, Lima, Mala, Chosica, II-III Chilca",34 Km al Este NE de Calango ,
,,-11.15,-76.32,106,4.4,II Lima,36 km al Oeste de Junín ,
,,-5.65,-76.77,28,4.2,II Moyobamba  ,48 Km al NE de Moyobamba,
,,-14.24,-76.5,20,4.7,II Pisco,68 Km al Sur de Pisco,
,,-18.19,-71.63,25,4.4,II Punta de Bombón,70 Km al SO de Ilo,
,,-13.65,-76.85,21,4.8,"III-IV Cañete; III San Vicente de Cañete, Pisco, Tambo de Mora; II lima, Ica",81 Km al SO de San Vicente de Cañete,
,,-15.64,-71.12,8,3.6,II Huambo,10 Km al N de Huambo,
,,-16.36,-72.73,74,4.5,II Camaná,28 Km al N de Camaná,
,,-5.96,-80.47,38,4.6,"II-III Olmos; II Sechura, Lambayeque",60 Km al SE de Sechura,
,,-16.82,-70.55,11,3.9,II Carumas,14 km al E de Carumas,
,,-16.78,-70.63,11,3.9,II Carumas,7 km al ENE de Carumas,
,,-16.81,-70.58,13,4,III Carumas,11 Km al Este de Carumas,
,,-8.8,-79.39,43,4,II Salaverry,81 km al SO de Salaverry,
,,-16.73,-73.11,15,4.3,"II Ocoña, Camaná",34 Km al Sur de Ocoña,
,,-3.46,-80.93,18,5,"III-IV Tumbes, Zorritos",38 Km al NO de Zorritos,
,,-18.37,-70.22,30,4,II Tacna,41 Km al S de Tacna,
,,-12.74,-77.45,27,3.8,II Lima,81 Km al OSO de Chilca,
,,-15.7,-72.12,12,4,"II-III Huambo,Cabanaconde",3 Km al NO de Huambo,
,,-15.7,-72.13,11,3.8,II Huambo,4 Km al NNO de Huambo,
,,-16.82,-70.58,13,3.6,II Calacoa(Moquegua),14 Km al SE de Calacoa,
,,-4.81,-79.71,18,4.3,II Ayabaca (Piura),19 Km al Sur de Ayabaca,
,,-11.47,-76.5,107,3.9,"II Canta, Lima",11 Km al Este de Canta,
,,-16.81,-70.56,10,3.8,II Calacoa (Moquegua),15 Km al ESE de Calacoa,
,,-16,-74.62,36,4,II Yauca,39 Km al SSO de Yauca,
,,-12.33,-77.09,60,3.3,II Lima,31 Km al Sur del Callao,
,,-15.68,-72.13,8,3.7,"II Cabanaconde, Huambo",6 Km al NNO de Huambo,
,,-15.69,-72.13,9,4.5,"III-IV Huambo; III Maca, Cabanaconde; II Chuquibamba, Pampacolca, Viraco",5 Km al NNO de Huambo,
,,-16.81,-70.59,10,3.7,"II Carumas, Calacoa (Moquegua)",12 Km al SE de Calacoa,
,,-16.79,-70.58,14,3.8,"II-III Carumas, Calacoa",12 Km al Este de Carumas,
,,-16.44,-72.36,88,5.3,"IV Camaná, Quilca; II-IV Ocoña, Aplao, Vitor, Mollendo; II-III Arequipa, Punta de Bombon; II Caravelí, Atico",30 Km al N de Quilca,
,,-15.7,-74.03,83,4.6,III Chala,28 Km al NE de Chala,
,,-16.63,-71.74,23,3.8,II Arequipa,27 Km al Sur Este de Vitor,
,,-14.32,-75.83,49,4.2,"II Ica, La Tinguiña, Palpa, nasca",30 Km al Sur SO de Ica,
,,-17.38,-71.72,37,4.3,II Punta de Bombón,25 Km al Sur-SE de Punta de Bombón,
,,-8.58,-79.69,36,4.3,"II Trujillo, Salaverry, Chimbote",90 Km al SO de Trujillo,
,,-17.88,-70.07,132,4.8,II Tacna,24 Km al NE de Tacna,
,,-13.9,-76.19,46,4,II Pisco,21 Km al Sur de Pisco ,
,,-9.68,-78.84,38,4.2,"II Casma, Chimbote",64 Km O de Casma,
,,-10.53,-76.96,121,4.7,"III-IV Cajatambo; III Oyon, Cerro de Pasco; II-III Puerto Supe, Barranca, Huacho; II Lima, Huanuco",7 Km al Sur SE de Cajatambo,
,,-10.07,-75.7,11,4.3,II-III Pozuzo,19 Km al Oeste-NO de Pozuzo,
,,-10.01,-75.7,17,4.6,III Pozuzo; II-III Oxapampa; II Huanuco,22 Km al Oeste-NO de Pozuzo,
,,-14.74,-76.19,11,4.7,II Ica,91 Km al SO de Ica,
,,-17.47,-69.66,165,5.1,"III-IV Tarata; III Tacna, Toquepala; II-III Moquegua; II Arequipa, Ilo",39 Km al E de Tacna,
,,-7.88,-74.46,161,4.5,II Pucallpa,54 al N de Pucallpa,
,,-15.65,-71.87,10,4.2,"IV Pinchollo, III Madrigal",9 Km al SO de Madrigal,
,,-6.74,-80.84,39,4.5,"II Pimentel, Chiclayo",101 Km al O de Pimentel,
,,-15.69,-71.89,9,4,II Pinchollo,10 Km al SO de Pinchollo,
,,-13.4,-74.65,90,4.1,II Chuschi,39 Km Oeste NO de Chuschi,
,,-10.78,-78.59,56,4.8,II Barranca,92 Km al Oeste de Barranca,
,,-16.11,-72.25,98,5.1,III Aplao; II Arequipa,26 Km al Este SE de Aplao,
,,-18.86,-70.14,84,4.7,II Tacna,95 Km al Sur de Tacna,
,,-9.28,-78.47,39,3.8,"II Samanco, Chimbote",5 Km al SE de Samanco,
,,-13.51,-76.33,56,4.1,"II-III Tambo de Mora, Chincha Alta",18 Km al Oeste SO de Tambo de Mora,
,,-15.71,-72.11,6,3.9,III Huambo; II Cabanaconde,2 Km al Norte de Huambo,
,,-15.74,-72.13,10,3.8,II Huambo,3 Km al NO de Huambo,
,,-15.69,-72.13,7,4,III Huambo; II Cabanaconde,7 Km al Norte NO de Huambo,
,,-15.42,-72.48,122,4.7,II-III Andagua; II Viraco,25 Km al N de Viraco,
,,-15.64,-71.87,11,3.8,II-III Pinchollo; II Madrigal,5 Km al O de Pinchollo,
,,-15.66,-71.86,13,4.5,"III-IV Pinchollo; III Cabanaconde, Chivay",5 Km al Oeste-SO de Pinchollo,
,,-10.77,-71.41,636,7.5,"IV Puerto Maldonado, Pucallpa III-IV San Gabán, Quillabamba; III Moyobamba, Tarapoto, Tingo Maria, Puerto Inca, Satipo, Juliaca; II-III Juanjui",130Km al Sur SO de Puerto Esperanza (Ucayali),
,,-10.22,-71.32,635,7.3,"IV Puerto Maldonado, Pucallpa; III-IV San Gabán, Quillabamba; III Moyobamba, Tarapoto, Tingo María, Puerto Inca, Satipo, Juliaca; II-III Juanjui",77 Km al SO de Puerto Esperanza (Ucayali),
,,-4.37,-80.77,12,4.3,"II Mancora, Sullana",42 Km SE de Mancora,
,,-9.69,-71.65,637,6.5,II-III Puerto Esperanza,98 Km al Oeste de puerto Esperanza (Ucayali),
,,-9.47,-71.92,679,5.1,II Puerto Esperanza,126 Km al Oeste de Puerto Esperanza (Ucayali),
,,-9.86,-78.83,30,4.1,II Casma,73 Km al SO de Casma,
,,-16.51,-71.31,128,5,II Arequipa,29 Km al SE de Arequipa,
,,-15.79,-68.86,6,3.5,II Puno,18 km al Este-NE de Puno,
,,-15.77,-71.83,10,4.5,"IV Pinchollo, Maca, II - III Madrigal, Cabanaconde.",15 Km al Sur de Pinchollo,
,,-15.75,-71.84,6,3.9,"III Pinchollo, Maca, II Madrigal",13 Km al Sur - SO de Pinchollo,
,,-15.73,-71.85,5,3.5,"II Pinchollo, Madrigal","11 Km al SSO de Pinchollo, 16 Km al SSO de Madrigal",
,,-15.73,-71.81,6,3.5,II Pinchollo,10 Km al S de Pinchollo,
,,-15.73,-71.84,8,3.6,"II Maca, Pinchollo",11 Km Sur SO de Pinchollo,
,,-9.9,-76.38,13,4.4,II-III Huanuco,17 Km al Oeste de Huanuco,
,,-15.15,-72.95,118,5,"II Cotahuasi, Pausa",9 Km al NO de Cotahuasi,
,,-15.74,-71.82,5,4.5,II-III Pinchollo,11 Km al Sur de Pinchollo,
,,-16.77,-70.55,17,4.3,II Calacoa,14 Km al Este SE de Calacoa,
,,-15.64,-72.15,10,3.9,II Huambo,11 Norte NO de Huambo,
,,-15.21,-74.94,59,4.9,II San Juan de Marcona,30 Km al NE de San Juan de Marcona,
,,-3.84,-80.61,29,4.2,II Zorritos,20 Km al Sur-SE de Zorritos,
,,-15.66,-72.09,19,4,II Huambo,8 Km al Norte NE de Huambo,
,,-15.63,-74.57,51,3.9,II Yauca,6 Km al OesteNO de Yauca,
,,-18.36,-70.16,24,4,II Tacna,41 Km Sur SE de Tacna,
,,-13.75,-76.46,58,4.3,"III Pisco, II Chincha, Ica",29 Km al Oeste de Pisco,
,,-13.55,-76.39,64,3.9,II Tambo de Mora,25 Km al Oeste SO de Tambo de Mora,
,,-8.96,-70.12,40,4.3,II Chimbote,60 Km al Oeste de Chimbote,
